City,Insula,Main Entrance,Secondary entrances,AGP Name,English Name,Italian Name,Category,OSM Tag,OSM ID,OSM Way ID,Herculaneum Panoramas link,Parco Archeologico Links,Source of info,Other notes
Herculaneum,V,7,,House of Neptune and Amphitrite,House of Neptune and Amphitrite,Casa di Nettuno e Anfitrite ,House,,,305742836,"http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Nettuno_Anfitrite/F33-07_atrium/F33-07_atrium.html
Herculaneum,V,8,,House of the Beautiful Courtyard,House of the Beautiful Courtyard,Casa del Bel Cortile ,House,,,305743130,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Bel_Cortile/F34-02_Bel_Cortile/F34-02_Bel_Cortile.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+del+Bel+Cortile&idSezione=190,,
Herculaneum,V,10,9,Taberna,Taberna,Taberna ,Tavern,,,304680694,,,insula plan ,
Herculaneum,V,11,,House of Apollo the Lyre-player,House of Apollo the Lyre-player,Casa dell'Apollo Citaredo,House,,,304680692,,,,
Herculaneum,V,12,,Shop ,Shop ,Bottega,Shop ,,,304680693,,,Monteix,
Herculaneum,V,13-14,,Shop ,Shop ,Bottega,Shop ,,,304680698,,,Monteix,
Herculaneum,V,15,,House of the Bicentenary,House of the Bicentenary,Casa del Bicentenario ,House,,,304680695,http://donovanimages.co.nz/proxima-veritati/Herculaneum/Bicentenario/HTML5_panos/F08-03_Bicent/F08-03_Bicent.html,,,
Herculaneum,V,16,,Shop ,Shop ,Bottega,Shop ,,,304680697,,,Monteix,
Herculaneum,V,18,,Upstairs apartment,Upstairs apartment,,House,,,304680696,,,Monteix,Bottega di merce non troppo commune (A. Mauri)
Herculaneum,V,19,,Shop ,Shop ,Bottega,Shop ,,,305010667,,,Monteix,
Herculaneum,V,20,,Shop ,Shop ,Bottega,Shop ,,,305011136,,,Monteix as shop but Scherillo indicates as taberna e ab. di Q. Iunius Philetus,
Herculaneum,V,21,,Taberna?,Taberna?,Taberna?,Tavern,,,305011553,,,Monteix,
Herculaneum,V,22,,Stairs up to apartment?,Stairs up to apartment?,,,,,305011554,,,"Scherillo, casa del Q. Iunius Philadespotes",
Herculaneum,V,23,,Shop,Shop,Bottega,Shop,,,305011555,,,"Monteix calls boutique, insula map calls taberna",
Herculaneum,V,24,,House of the Brick Column ,House of the Brick Column ,Casa della Colonna Laterizia ,House,,,305011797,,,,
Herculaneum,V,25,,Shop ,Shop ,Bottega,Shop ,,,305011796,,,,"Note to SS: no graffiti found here, shall we leave off drop-down menu?"
Herculaneum,V,26,,Shop ,Shop ,Bottega,Shop ,,,305012244,,,,"Note to SS: no graffiti found here, shall we leave off drop-down menu?"
Herculaneum,V,27,,Commercial space,Commercial space,,Commercial space,,,305012245,,,"Monteix calls boutique, insula map calls taberna",
Herculaneum,V,28,29,Shop,Shop,Bottega,Shop,,,305012246,,,"Monteix calls boutique w/room, insula map calls taberna w/ladder",
Herculaneum,V,30,,House of the Corinthian Atrium,House of the Corinthian Atrium,Casa Dell'Atrio Cornizo,House,,,305012768,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/F41-05_Atrio-Corinzio/F41-05_Atrio_Corinzio.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+dell%27Atrio+Corinzio&idSezione=194,,
Herculaneum,V,31,,House of the Wooden Shrine ,House of the Wooden Shrine ,Casa del Sacello di Legno ,House,,,305741665,,,,
Herculaneum,V,32,,Shop,Shop,Bottega,Shop,,,305741666,,,"Monteix calls boutique, insula map calls taberna",
Herculaneum,V,33,,House with Garden,House with Garden,Casa con Giardino,House,,,305741667,,http://www.pompeiisites.org/Sezione.jsp?titolo=La+Casa+con+Giardino&idSezione=196,,
Herculaneum,V,34,,Shop,Shop,Bottega,Shop ,,,305741668,,,Monteix,
