EDR,Latin description,English description,Langner Number,CIL IV.#,Translation removed from EDR?,Image of CIL entry uploaded?,Other notes,Drawing Category,,,,,,,,,,,,,,,,,,
,Take Latin description from EDR,English translation of description,,,Has the translation been removed yet? Yes/No,N/A if Langner has but not in CIL,,,,,,,,,,,,,,,,,,,,
EDR147973,circulus circino tractus et circulos floresque continens,compass-drawn circle containing circles and flowers,130,,,,,,,,,,,,,,,,,,,,,,,
EDR147974,circuli circino tracti,compass-drawn circles,131,,,,,,,,,,,,,,,,,,,,,,,
EDR147975,circulus  ,circle,136,,,,,,,,,,,,,,,,,,,,,,,
EDR147976,circulus circino tractus,compass-drawn circle,137,,,,,,,,,,,,,,,,,,,,,,,
EDR147977,circulus circino tractus,compass-drawn circle,138,,,,,,,,,,,,,,,,,,,,,,,
EDR147978,circulus circino tractus,compass-drawn circle,139,,,,,,,,,,,,,,,,,,,,,,,
EDR147979,circuli sectiles circino tracti,overlapping compass-drawn circles,140,,,,,,,,,,,,,,,,,,,,,,,
EDR147999,nomen SILETIOLLVS in forma navis scriptum,name SILETIOLLVS written in shape of boat,20,,,,,,,,,,,,,,,,,,,,,,,
EDR148022,verba Surrentinas scripta in forma duae navium,words Surrentinas written in the shape of two boats,21 and 22,,,,,,,,,,,,,,,,,,,,,,,
EDR148103,verba in forma navis scripta,phrase written in shape of boat,23,,,,,,,,,,,,,,,,,,,,,,,
EDR148378,labyrinthus,labyrinth,150,,,,,,,,,,,,,,,,,,,,,,,
EDR148379,labyrinthus  ,labyrinth,151,,,,,,,,,,,,,,,,,,,,,,,
EDR148380,labyrinthus circularis,round labyrinth,152,,,,,,,,,,,,,,,,,,,,,,,
EDR148381,labyrinthus circularis,round labyrinth,153,,,,,,,,,,,,,,,,,,,,,,,
EDR148416,labyrinthus circularis,round labyrinth,154,,,,,,,,,,,,,,,,,,,,,,,
EDR148418,stella,star,162,,,,,,,,,,,,,,,,,,,,,,,
EDR148419,duo triangula,two triangles,166,,,,,,,,,,,,,,,,,,,,,,,
EDR148422  ,permulta quadrata triangulaque,geometric design of several squares and triangles,170,,,,,,,,,,,,,,,,,,,,,,,
EDR148731,tres tauri ad sin. currentes,three bulls running to left,1491,,,,,,,,,,,,,,,,,,,,,,,
EDR148732,folium,leaf,2452,,,,,,,,,,,,,,,,,,,,,,,
EDR148733,folium,leaf,2453,,,,,,,,,,,,,,,,,,,,,,,
