"EDR125002","CIL 04, 08222 (nota) (1)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 48 n. 34 (2)"
"EDR125529","CIL 04, 06893 (1)<br>Cron. Pomp., 2, 1976, pp. 226-228 (M. Gigante) - AE 1980 (2)<br>AE 1980, 0261 (3)<br>HD004183 (B. Ruck) (4)"
"EDR125532","CIL 04, 06895 (1)"
"EDR127147","CIL 04, 08653 (4) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 154 con foto."
"EDR127157","CIL 04, 08594 (1)<br>A. Varone,  Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 134 (2)"
"EDR127158","CIL 04, 08597 (1)<br>A. Varone, A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 135 (2)"
"EDR127191","CIL 04, 08563 (1)"
"EDR127188","CIL 04, 08578 (1) "
"EDR127080","CIL 04, 08531 (1)"
"EDR127160","CIL 04, 08603 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 137 con foto (2)"
"EDR127424","CIL 04, 08630b (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 148 con foto (2)"
"EDR127140","CIL 04, 08625a (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 145 con foto et facsimile. (2)"
"EDR127234","CIL 04, 08625d (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 145, con foto et facsimile. (2)"
"EDR127299","CIL 04, 08600 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 136 con foto (2)"
"EDR127403","CIL 04, 08551 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 129 con foto. (2)"
"EDR127406","CIL 04, 08554 (1)"
"EDR127428","CIL 04, 08626a (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 146 con foto et facsimile (2)<br><br>"
"EDR127081","CIL 04, 08568 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 131 con facsimile (2)"
"EDR127145","CIL 04, 08627(a) (1) <br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 147 con facsimile (2)"
"EDR127396","CIL 04, 08645 (1)  <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 153 con facsimile (2)"
"EDR127801","CIL 04, 08632a (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 149, con facsimile et immagine. (2)"
"EDR127835","CIL 04, 08640 (1) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 152 con foto (2)"
"EDR127843","CIL 04, 08583 (1)"
"EDR127154","CIL, 04, 08644 (1) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 152 con foto e facsimile. (2)"
"EDR127414","CIL 04, 08630a (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 148 con immagine (2)"
"EDR127575","CIL 04, 08672b (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 157 con facsimile (2)"
"EDR127151","CIL 04, 08629a(1) <br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 148 con immagine. (2)"
"EDR127212","CIL 04, 08518 (1)"
"EDR127242","CIL 04, 08627b (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 147 con facsimile. (2)"
"EDR127430","CIL 04, 08669a (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 156 con foto (2)"
"EDR127572","CIL 04, 08668 (1)"
"EDR127574","CIL 04, 08672a (1)"
"EDR127576","CIL 04, 08673 (1)"
"EDR128046","CIL 04, 08675b (1)"
"EDR128047","CIL 04, 08676a (1)"
"EDR128114","CIL 04, 08634 (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 150, con facsimile et immagine (2)"
"EDR127149","CIL 04, 08631 (1) "
"EDR127404","CIL 04, 08536 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 121 con foto (2)"
"EDR127415","CIL 04, 08553a (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 130 con foto. (2)"
