"EDR128616","Textus secundum (1)<br>v.1: Initial ""C"" is a tall letter.<br>v.2: cccp vel ccca?"
"EDR127186","Textus secundum (1) <br>v.3: The letter ""E"" is written as ""II."""
"EDR127218","Textus secundum (2)<br>"
"EDR127409","Textus secundum (1)"
"EDR127426","Textus secundum (1)"
"EDR128582","Textus secundum, periit (2)"
"EDR128615","Textus secundum (1)<br>v.2: A. Septumiu[s Vin?]icio Fabio (1)"
"EDR128617","Textus secundum (1)"
"EDR128583","Textus secundum (2)"
"EDR127398","Textus secundum (1)<br>v. 5: the letter ""e"" is written as ""II"". <br>v. 7: Fabio vel habeo (?)<br>v. 8: Iu &#12296;i&#12297;lius vel Iu[n]ilius "
"EDR128066","Textus secundum (1) <br>v.1: CIL reads as Qu(i)n(tus?) "
"EDR128067","Textus secundum (1)<br>v.1: the letter ""E"" is written as ""II."" "
"EDR128080","Textus secundum (1)<br>v.1: The fifth letter could be an ""L."" CIL proposes [N]ugulus(?) or A[n]gulus(?)  "
"EDR128082","Textus secundum (1)"
"EDR128084","Textus secundum (1). Periit (2). "
"EDR128585","Textus secundum (2)"
"EDR128660","Textus secundum (1)"
"EDR127814","Textus secundum (1)"
"EDR127982","Textus secundum (1), periit (2)"
"EDR128065","Textus secundum (1). Titulus periit (2)"
"EDR128567","Textus secundum (1) "
"EDR128662","Textus secundum (1), periit (2)"
"EDR127830","Textus secundum (1)"
"EDR127845","Textus secundum (1). "
"EDR128016","Textus secundum (1)<br>v.1: Lar vel L(---) A(---) R(---)?"
"EDR128051","Textus secundum (1)"
"EDR128060","Textus secundum (2)<br>v. 1: CIL ad loc. suggests Gylo, cylo(n), cyli(ndro) cyli(smate), and cyli(ce) as alternate possibilities"
"EDR128543","Textus secundum (1)"
"EDR128544","Textus secundum (1) "
"EDR128550","Textus secundum (1)"
"EDR128663","Textus secundum (1), periit (2)"
"EDR128117","Textus secundum (1), periit (2)<br>v. 1: O hlo = Chlo(e)? The first letter ""O"" is composed of two strokes, the first of which could be a ""C""."
"EDR127405","Textus secundum (1) <br>vv. 1, 2, 3, 4: The letter ""E"" is represented as II"
"EDR127831","Textus secundum (1)"
"EDR128290","Textus secundum (1)<br>v.1-2: Sot(er) vel Sot(er)/icu(s)? (1)"
"EDR128661","Textus secundum (1)"
"EDR128733","Textus secundum (1)"
"EDR128734","Textus secundum (1)"
"EDR128737","Textus secundum (1)"
"EDR127193","Textus secundum (1)"
"EDR127297","Textus secundum (1)<br>v. 1: ((centuria)) vel ((centurionis))"
"EDR127407","Textus secundum (1)<br>v.1: vel Sinaei, vel Sianei? (2)"
"EDR127421","Textus secundum (1)"
"EDR127816","Textus secundum (1)<br>"
"EDR127817","Textus secundum (1)"
"EDR127820","Textus secundum (1)<br>v.3: <salutem?>"
"EDR127847","Textus secundum (1).<br>v. 3: Tiber vel Tiber(is) vel Tiber(ii) (1)<br>Measurements above are only for Columna I, Stria 13.<br>(Measurements for Columna III, Stria 15 are: alt: 9,5 lat: 4,4 litt alt: 0,5 - 9,5.)"
"EDR127971","Textus secundum (1)"
"EDR127973","Textus secundum (1)"
"EDR128278","Textus secundum (1) <br>Nearby inscription (CIL 04, 08665) reads: ((centuria)) Tironis "
"EDR128286","Textus secudum (1)<br>v.1: 'F' is upside down; 'I' is placed above 'S'"
"EDR128554","Textus secundum (1)"
"EDR128559","Textus secundum (1), periit (2)"
"EDR128560","Textus secundum (1)"
"EDR128581","Textus secundum (1)"
"EDR128641","Textus secundum (1) "
"EDR128642","Textus secundum (1) "
"EDR128643","Textus secundum (1) <br>v.1: (N)ugul(us?) (1) "
"EDR128644","Textus secundum (1) "
"EDR128645","Textus secundum (1) "
"EDR128647","Textus secundum (1) "
"EDR128648","Textus secundum (1) "
"EDR128649","Textus secundum (1) "
"EDR128650","Textus secundum (1) "
"EDR128738","Textus secundum (1), periit (2)"
"EDR128751","Textus secundum (1)"
"EDR128754","Textus secundum (1)"
"EDR128759","Textus secundum (1)"
"EDR128760","Textus secundum (1)<br>v.1 (col. I): Inscription presents V with a vertical line through it."
"EDR127420","Textus secundum (1)"
"EDR127422","Textus secundum (1)"
"EDR127844","Textus secundum (1)<br>"
"EDR127976","Textus secundum (1)"
"EDR127981","Textus secundum (1)<br>v.1: Popiu(s) pro Popi(di)u(s)? (CIL ad loc.)"
"EDR128284","Textus secundum (2)<br>v.1-2: ""Provi/de miles"" (Marichal, given in Varone); ""Pacqui/a /de nsie"" (CIL ad loc.) "
"EDR128285","Textus secundum (1)<br>"
"EDR128287","Textus secundum (1)<br>v.1: ""R"" is backwards"
"EDR128291","Textus secundum (1)<br>v.1 trade vel trado (1)"
"EDR128292","Textus secundum (1)"
"EDR128293","Textus secundum (1)"
"EDR128563","Textus secundum (1)<br>v.1: (orbiculis additis postea) (2)"
"EDR128746","Textus secundum (1)<br>v.1: Amentius? (CIL ad loc.)<br>eum ita corrupit, ut nullo modo legi possit (2)"
"EDR128747","Textus secundum (1)<br>v.1 poma vel Pomp[ei---?]"
"EDR128749","Textus secundum (1)"
"EDR128750","Textus secundum (1)"
"EDR128756","Textus secundum (1)"
"EDR128758","Textus secundum (1)"
"EDR128762","Textus secundum (1)"
"EDR128769","Textus secundum (1)<br>v.1: Virum bonum vel Viros bonos? (1)<br>"
"EDR128770","Textus secundum (1)"
"EDR128772","Textus secundum (1)"
"EDR128773","Textus secundum (2)"
"EDR128774","Textus secundum (2)<br>v.1: CIL reads POGGAC"
"EDR128775","Textus secundum (1)<br>v.1: Iannu pro Ianu(arius)?"
"EDR128776","Textus secundum (1)"
"EDR128777","Textus secundum (1)<br>v.4: E is represented as II."
"EDR128778","Textus secundum (1)<br>v.1: Par(is)?<br>v.2: puel[l]ar(um amator) nili, pro nihili? (1) "
"EDR128779","Textus secundum (1)<br>v.1: Titulus postea linea inducta deletus. The letter ""E"" is written as II."
"EDR127849","Textus secundum (1), periit (2)<br>v.1 suu(m?) [munus] vel [instrumentum]? (1)<br>v.3 Alunt(us) vel Acunti(us?)"
"EDR128673","Textus secundum (1), periit (2)"
"EDR127423","Textus secundum (1)"
"EDR127821","Textus secundum (1)"
"EDR127822","Textus secundum (1)"
"EDR127826","Textus secundum (1)"
"EDR127827","Textus secundum (1)<br>"
"EDR128748","Textus secundum (1)"
"EDR128651","Textus secundum (1) "
"EDR128739","Textus secundum (1)"
"EDR128740","Textus secundum (1)<br>v. 1: vel f(?) Ascula(?) (CIL 04, 08194b)"
"EDR128752","Textus secundum (1)"
"EDR128753","Textus secundum (1)<br>v: 2 ""E"" is written as ""II"""
"EDR128755","Textus secundum (1)<br>"
"EDR128899","Textus secundum (1), periit (2)"
"EDR140046","Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, Lundquist, a. 2014;<br>vv. 1-3: i.e. Denarius datus est Colono; cf. EDR151877."
"EDR140050","Textus secundum (1), contulerunt Lundqvist, Dollings, Thayer, Crawford, et Toscano (HGP) a. 2014<br>v. 1: aut BUCULUS (1)"
